    0.180312E+03    0.180312E+03    0.180312E+03    0.180312E+03
    0.154747E+03    0.154747E+03    0.154747E+03    0.154747E+03
   -0.167774E+01   -0.167774E+01   -0.167774E+01   -0.167774E+01
    0.232773E-01    0.232773E-01    0.232773E-01    0.232773E-01
    0.245217E-01    0.245217E-01    0.245217E-01    0.245217E-01
    0.102314E+00    0.102314E+00    0.102314E+00    0.102314E+00
   -0.669051E+01   -0.669051E+01   -0.669051E+01   -0.669051E+01
    0.133709E+03    0.133709E+03    0.133709E+03    0.133709E+03
    0.979986E+00    0.979986E+00    0.979986E+00    0.979986E+00
    0.479973E-02    0.479973E-02    0.479973E-02    0.479973E-02
    0.303529E+00    0.303529E+00    0.303529E+00    0.303529E+00
    0.298964E-01    0.298964E-01    0.298964E-01    0.298964E-01
   -0.116477E+01   -0.116477E+01   -0.116477E+01   -0.116477E+01
    0.646414E-02    0.646414E-02    0.646414E-02    0.646414E-02
    0.826330E-04    0.826330E-04    0.826330E-04    0.826330E-04
   -0.731362E-08   -0.731362E-08   -0.731362E-08   -0.731362E-08
   -0.573728E-08   -0.573728E-08   -0.573728E-08   -0.573728E-08
   -0.388962E-07   -0.388962E-07   -0.388962E-07   -0.388962E-07
    0.583132E-01    0.583132E-01    0.583132E-01    0.583132E-01
    0.747924E-02    0.747924E-02    0.747924E-02    0.747924E-02
   -0.438094E-04   -0.438094E-04   -0.438094E-04   -0.438094E-04
   -0.153565E-08   -0.153565E-08   -0.153565E-08   -0.153565E-08
   -0.127973E-06   -0.127973E-06   -0.127973E-06   -0.127973E-06
   -0.639046E-08   -0.639046E-08   -0.639046E-08   -0.639046E-08
