    0.104284E+03    0.104284E+03    0.104284E+03    0.104284E+03
    0.775096E+02    0.775096E+02    0.775096E+02    0.775096E+02
    0.116487E+01    0.116487E+01    0.116487E+01    0.116487E+01
   -0.118544E-01   -0.118544E-01   -0.118544E-01   -0.118544E-01
   -0.199765E-02   -0.199765E-02   -0.199765E-02   -0.199765E-02
   -0.190556E-01   -0.190556E-01   -0.190556E-01   -0.190556E-01
    0.153348E+03    0.153348E+03    0.153348E+03    0.153348E+03
    0.729887E+02    0.729887E+02    0.729887E+02    0.729887E+02
    0.615802E+00    0.615802E+00    0.615802E+00    0.615802E+00
    0.498634E-02    0.498634E-02    0.498634E-02    0.498634E-02
    0.516824E-01    0.516824E-01    0.516824E-01    0.516824E-01
   -0.581807E-02   -0.581807E-02   -0.581807E-02   -0.581807E-02
   -0.131243E+01   -0.131243E+01   -0.131243E+01   -0.131243E+01
    0.128983E-01    0.128983E-01    0.128983E-01    0.128983E-01
   -0.223529E-03   -0.223529E-03   -0.223529E-03   -0.223529E-03
    0.266524E-07    0.266524E-07    0.266524E-07    0.266524E-07
    0.337709E-08    0.337709E-08    0.337709E-08    0.337709E-08
    0.481371E-07    0.481371E-07    0.481371E-07    0.481371E-07
   -0.209308E+01   -0.209308E+01   -0.209308E+01   -0.209308E+01
    0.137451E-01    0.137451E-01    0.137451E-01    0.137451E-01
   -0.109797E-03   -0.109797E-03   -0.109797E-03   -0.109797E-03
   -0.115746E-07   -0.115746E-07   -0.115746E-07   -0.115746E-07
   -0.134320E-06   -0.134320E-06   -0.134320E-06   -0.134320E-06
    0.148273E-07    0.148273E-07    0.148273E-07    0.148273E-07
